Date,Time,Para_name,Value,Dimension
01/29/2020,11:23:24,GEN_kVAr,0,kVAr
01/29/2020,11:23:25,GEN_KVAr_L1,0,kVAr
01/29/2020,11:23:25,GEN_kVAr_L2,0,kVAr
01/29/2020,11:23:25,GEN_kVAr_L3,0,kVAr
01/29/2020,11:23:25,GEN_PF,0.0,UNIT
01/29/2020,11:23:26,GEN_PF_L1,0.0,UNIT
01/29/2020,11:23:26,GEN_PF_L2,0.0,UNIT
01/29/2020,11:23:26,GEN_PF_L3,0.0,UNIT
01/29/2020,11:23:26,GEN_kVA,0,kVA
01/29/2020,11:23:27,GEN_kVA_L1,0,kVA
01/29/2020,11:23:27,GEN_kVA_L2,0,kVA
01/29/2020,11:23:27,GEN_kVA_L3,0,kVA
01/29/2020,11:23:27,GEN_E_FAULT,655.35,A
01/29/2020,11:23:28,BAT_VOLT,21.4,V
01/29/2020,11:23:28,CHR_VOLT,21.3,V
01/29/2020,11:23:28,OIL_PRESS,3276.8,BAR
01/29/2020,11:23:28,ENG_TEMP,32768,DEG CELCIUS
01/29/2020,11:23:29,FUEL_LEVEL,32768,%
01/29/2020,11:23:29,PYGEN_READ,0,BIN
01/29/2020,11:27:03,PYGEN_READ,1,BIN
01/29/2020,11:27:03,Date,Time,Para_name,Value,Dimension
01/29/2020,11:27:03,GEN_V_L1-N,0,V
01/29/2020,11:27:03,GEN_V_L2-N,0,V
01/29/2020,11:27:04,GEN_V_L3-N,0,V
